page_id,chapter,section,section_name,sentence_number,sentence
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,1,"Welcome to  Psychology , an OpenStax resource."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,2,"This textbook was written to increase student access to high-quality learning materials, maintaining highest standards of academic rigor at little to no cost."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,3,"About OpenStax   OpenStax is a nonprofit based at Rice University, and it's our mission to improve student access to education."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,4,"Our first openly licensed college textbook was published in 2012, and our library has since scaled to over 25 books for college and AP® courses used by hundreds of thousands of students."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,5,"Our adaptive learning technology, designed to improve learning outcomes through personalized educational paths, is being piloted in college courses throughout the country."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,6,"Through our partnerships with philanthropic foundations and our alliance with other educational resource organizations, OpenStax is breaking down the most common barriers to learning and empowering students and instructors to succeed."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,7,"About OpenStax Resources   Customization    Psychology  is licensed under a Creative Commons Attribution 4.0 International (CC BY) license, which means that you can distribute, remix, and build upon the content, as long as you provide attribution to OpenStax and its content contributors."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,8,"Because our books are openly licensed, you are free to use the entire book or pick and choose the sections that are most relevant to the needs of your course."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,9,"Feel free to remix the content by assigning your students certain chapters and sections in your syllabus, in the order that you prefer."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,10,You can even provide a direct link in your syllabus to the sections in the web view of your book.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,11,Instructors also have the option of creating a customized version of their OpenStax book.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,12,The custom version can be made available to students in low-cost print or digital form through their campus bookstore.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,13,Visit your book page on openstax.org for more information.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,14,Errata  All OpenStax textbooks undergo a rigorous review process.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,15,"However, like any professional-grade textbook, errors sometimes occur."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,16,"Since our books are web based, we can make updates periodically when deemed pedagogically necessary."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,17,"If you have a correction to suggest, submit it through the link on your book page on openstax.org."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,18,Subject matter experts review all errata suggestions.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,19,"OpenStax is committed to remaining transparent about all updates, so you will also find a list of past errata changes on your book page on openstax.org."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,20,"Format  You can access this textbook for free in web view or PDF through openstax.org, and in low-cost print and iBooks editions."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,21,About  Psychology     Psychology  is designed to meet scope and sequence requirements for the single-semester introduction to psychology course.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,22,"The book offers a comprehensive treatment of core concepts, grounded in both classic studies and current and emerging research."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,23,The text also includes coverage of the DSM-5 in examinations of psychological disorders.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,24,"Psychology  incorporates discussions that reflect the diversity within the discipline, as well as the diversity of cultures and communities across the globe."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,25,"Coverage and Scope   This book is designed to make psychology, as a discipline, interesting and accessible to students research and examples that represent and include the various sociocultural backgrounds of the many students who take this course."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,26,The result is a book that covers the breadth of psychology topics with variety and depth that promote student engagement.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,27,The organization and pedagogical features were developed and vetted with feedback from psychology educators dedicated to the project.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,28,"Chapter 1: Introduction to Psychology   Chapter 2: Psychological Research   Chapter 3: Biopsychology   Chapter 4: States of Consciousness   Chapter 5: Sensation and Perception   Chapter 6: Learning   Chapter 7: Thinking and Intelligence   Chapter 8: Memory   Chapter 9: Lifespan Development   Chapter 10: Motivation and Emotion   Chapter 11: Personality   Chapter 12: Social Psychology   Chapter 13: Industrial-Organizational Psychology   Chapter 14: Stress, Lifestyle, and Health   Chapter 15: Psychological Disorders   Chapter 16: Therapy and Treatment      Pedagogical Foundation  Throughout  Psychology ,  you will find features that draw the students into psychological inquiry by taking selected topics a step further."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,29,Everyday Connection  features tie psychological topics to everyday issues and behaviors that students encounter in their lives and the world.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,30,"Topics include the validity of scores on college entrance exams, advertising and associative learning, and cognitive mapping."
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,31,What Do You Think?
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,32,features provide research-based information and ask students their views on controversial issues.
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,33,"Topics include ""Brain Dead and on Life Support,"" ""Hooters and BFOQ Laws,"" and ""Intellectually Disabled Criminals and Capital Punishment."""
17f9a360-57e1-4c3e-82f5-f9328ca23f04@24,0,1,Preface,34,Dig Deeper  features discuss one specific aspect of a topic in greater depth so students can dig more deeply into the concept.
